Year,Predicted CO2 Emissions (kt),Country
2020,17313.210986385762,Bahrain
2021,17533.224591104874,Bahrain
2022,17775.653056689014,Bahrain
2023,18112.849104672227,Bahrain
2024,18514.314781331806,Bahrain
2025,18962.200965534146,Bahrain
2026,19525.36315290287,Bahrain
2027,20095.70870354317,Bahrain
2028,20666.054254183473,Bahrain
2029,21236.39980482377,Bahrain
2030,21806.74535546409,Bahrain
2031,22377.09090610438,Bahrain
2032,22947.436456744683,Bahrain
2033,23517.78200738498,Bahrain
2034,24088.12755802529,Bahrain
2035,24720.061468550033,Bahrain
2036,25420.83883192193,Bahrain
2037,26121.616195293835,Bahrain
2038,26839.06487357428,Bahrain
2039,27584.011864724445,Bahrain
2040,28355.344913297777,Bahrain
2020,47762.37549442411,Libya
2021,47858.550856566886,Libya
2022,47954.72621870965,Libya
2023,48065.74932567753,Libya
2024,48239.462049493704,Libya
2025,48484.03075039646,Libya
2026,48940.293940168696,Libya
2027,49494.94048526363,Libya
2028,49747.08307845291,Libya
2029,49931.483029642935,Libya
2030,50107.26130200491,Libya
2031,50330.462061910235,Libya
2032,50477.40698755287,Libya
2033,50430.9313455483,Libya
2034,50006.1172142726,Libya
2035,49758.11753847462,Libya
2036,49581.72316013872,Libya
2037,48554.65668508309,Libya
2038,47773.28635581491,Libya
2039,46558.56411202604,Libya
2040,45064.66146384882,Libya
2020,21821.91009781351,Jordan
2021,21927.061450312656,Jordan
2022,22786.90397985796,Jordan
2023,23771.19789875044,Jordan
2024,24703.975472917853,Jordan
2025,25859.212040714214,Jordan
2026,27055.345061986,Jordan
2027,28062.840178815946,Jordan
2028,28898.869115287947,Jordan
2029,29526.42726397467,Jordan
2030,29799.975366289138,Jordan
2031,29966.93305322309,Jordan
2032,30193.228619645968,Jordan
2033,30466.93277792687,Jordan
2034,30736.647938433955,Jordan
2035,31006.36309894106,Jordan
2036,31209.940693705226,Jordan
2037,31314.193963194648,Jordan
2038,31424.39623210548,Jordan
2039,31534.598501016295,Jordan
2040,31618.484580713557,Jordan
2020,81489.99962399647,Iraq
2021,85979.72833900288,Iraq
2022,90709.58616670525,Iraq
2023,94865.49931771151,Iraq
2024,98371.0548846673,Iraq
2025,101778.69913455454,Iraq
2026,105735.54096344742,Iraq
2027,109790.20769823232,Iraq
2028,113844.87443301723,Iraq
2029,118002.89897050553,Iraq
2030,122186.50594816529,Iraq
2031,126303.94809307442,Iraq
2032,130102.58271165518,Iraq
2033,133901.22559540943,Iraq
2034,137699.86847916368,Iraq
2035,141381.8700959483,Iraq
2036,145043.8242994591,Iraq
2037,148504.9174661292,Iraq
2038,151742.8886909649,Iraq
2039,154807.37382201172,Iraq
2040,157871.85895305866,Iraq
2020,26987.995818147712,Lebanon
2021,25976.348803402594,Lebanon
